sample,solar_cost,wind_cost,battery_cost,diesel_marginal_cost,total_cost,solar_mw,wind_mw,diesel_mw,battery_mw
0,42441.8247574744,81530.29685565332,86116.70317155716,103.38238551382128,45998091.183743246,139.58834742542248,251.91092262625176,100.77836653149446,-0.0
1,44358.63120417466,101507.80542212856,31119.505879574044,88.29588330722008,47684937.97714623,233.7691960221843,184.20069686556647,69.88309991681055,145.69716259011835
2,49604.12591820586,101362.79841309722,78974.5893463611,121.04680973615385,53762562.67265568,141.39588533122762,244.67745507001186,100.77836653149446,-0.0
3,58324.4033172371,69997.16599703064,42245.68775136076,81.5633458384598,42637081.35603159,115.33802682375077,244.67745507001186,93.45355727187973,43.1265296983667
4,36468.91277766786,73626.25291076704,76873.7565934521,64.94597455227661,38896537.66503203,135.24041150460033,223.3762897865271,100.77836653149446,-0.0
5,56137.664060116884,103520.92864481671,65633.88262875102,118.30170338187851,54877611.11590696,135.24041150460033,242.66020048526673,99.50620304865478,5.0216979585776755
6,45660.272964228185,99350.07781162485,33227.73462615366,115.28277717325656,49952757.12891517,225.98729342723502,204.90841538709117,70.13943336081802,148.8668099403638
7,37789.861205922054,73504.96639168836,50996.28839716851,132.44365597032305,45259181.52391757,187.87536323373286,252.582120349647,83.8960750231729,66.64062437495352
8,54889.00382715952,84651.38896727317,60860.68504704059,72.32758091822502,44783628.19622626,122.33774648489295,223.55422676338847,103.11261219914883,-0.0
9,57550.30325127285,93038.09987874104,75849.72864212739,87.05044552767977,48947983.62601199,135.24041150460033,227.6907521570299,100.77836653149446,-0.0
10,35670.714639881335,63089.36907738843,60450.25416704126,60.17434200726484,35801033.36755411,135.24041150460033,228.82573825780696,100.77836653149446,-0.0
11,53305.08720160196,84522.56810173363,73832.31618518899,89.57617615094021,46695383.598230004,135.24041150460033,237.93199627420324,100.77836653149446,-0.0
12,63593.85007484588,79097.68671221475,49919.72865386764,107.75782087822542,48431326.80104448,127.40270172269622,252.582120349647,93.41836424429624,34.64975238155635
13,59313.34647812188,96340.39062491537,53006.62540895819,64.07598752451565,46540435.810394585,112.78476065429162,201.61216247567933,104.8408610341132,-0.0
14,58693.07938703599,60457.91944339264,85771.63678260024,115.73872459796395,43742878.45118216,124.6928893626505,286.7406154274175,102.6865388220042,-0.0
15,53245.54241435253,102301.92905138135,53210.14354162237,136.01651980272985,55486476.91495111,167.98940630037745,239.9333168804409,87.54999611780765,52.21725163297418
16,59933.08648142053,95198.98202640077,70459.3050243799,115.11691006415666,53013661.190251164,135.24041150460033,247.51474618018608,100.77836653149446,-0.0
17,60887.96835032338,83645.31073531754,52177.139164833985,122.10949740073009,50628093.12437914,134.71914372481046,255.58193697831024,93.40500850744678,29.477611458405818
18,50250.99569369041,72892.44634548912,48377.30675360412,135.17763319293567,47289858.842201784,161.85311645331512,261.7509272478568,88.56298795944049,48.21859962652874
19,49246.55105220775,98663.71653872232,89281.93897381097,127.94064752299066,53745796.19997227,142.30065330834776,251.91092262625176,100.77836653149446,-0.0
20,59682.045549275164,56296.34335274551,49249.81588801998,116.37037283508157,42576912.638708755,127.49035775044688,287.99755943760664,93.26068817825018,35.209560463228854
21,35341.612355007564,64967.71451738783,86038.66105477016,116.96917769931616,41862268.08729868,160.119779098721,271.9654864553975,100.77836653149446,-0.0
22,44763.40830079687,64789.40638298516,63684.92289873075,109.58661966385179,42542433.50301139,135.24041150460033,273.430771228629,100.77836653149446,-0.0
23,56881.70515291499,95841.50907243308,66045.30729538859,104.19595602734393,51552161.07531401,135.24041150460033,239.59647691884683,100.77836653149446,-0.0
24,64924.363280229234,85077.41529996347,59398.81540322999,95.7111197183218,49026584.70148876,118.72491358508282,246.29426504380467,103.76621667012132,-0.0
25,58443.31841623814,98232.82773928391,61611.602407577506,116.13050307534164,53614521.520019196,135.24041150460033,242.66020048526673,95.53937658952385,20.680223455147107
26,36188.983953497656,72425.67964852895,43101.56342666899,86.22765955678273,40734664.73233207,164.31646944536814,231.27339234111244,88.25302969071463,49.44211910834139
27,56571.59167706614,100155.18565103327,72034.83115028834,121.93770964618622,54512239.420181595,135.24041150460033,249.3674132434954,100.77836653149446,-0.0
28,47267.80137721011,60185.39035948158,83245.62451466561,104.98883735704695,41213257.81349322,135.24041150460033,275.28144010422994,100.77836653149446,-0.0
29,59162.98537931437,81007.64587214624,46302.38007427825,134.93368128269515,50664467.61809974,135.26585817062218,260.8790894850294,91.95623071294814,40.43181358599361
30,51978.406501637204,73941.6481320555,44322.20428051882,136.61902293916967,47750361.73896058,164.23488356317986,258.7354082000186,87.91959558461676,51.65012743818329
31,60033.42758584501,93350.34631588802,54190.25303316751,110.97432554993853,51927431.949844435,135.24041150460033,240.05231962606507,93.47414922783209,28.83243672498304
32,50843.5231284934,78614.21488447761,56688.460590618255,91.96049830275987,45203004.170989335,135.24041150460033,244.67745507001186,99.33659266614367,5.691212626384681
