月,Solar[MWh],Wind[MWh],Diesel[MWh],Battery放電[MWh],Battery充電[MWh],需要[MWh],再エネ比率[%]
Jan,31.15639627411973,3.2674738766103557,0.5111895264838505,11.698974685854296,12.980586739068231,33.653447624,102.28928261775074
Feb,29.354939445625543,1.6660273002192412,0.022904078384468844,10.78451832792054,11.858994004149796,29.969395148,103.50881822156148
Mar,35.29038138892817,0.7429378410804508,0.4309414193546449,12.870530992369291,14.266450440732553,35.068341201,102.75170708382721
Apr,32.61214626647565,0.42146518856637577,1.6188007752531601,12.306941751509042,13.748337990804226,33.211015991,99.46582623065174
May,30.691481508573606,2.369338190341278,1.4144899522128642,11.513073621361169,12.607768316488915,33.380614956,99.04197314067865
Jun,27.151916710796073,4.952745744089642,2.215945075478764,9.412541797345508,10.38178991970999,33.351359408,96.26193062218854
Jul,30.14963019673477,3.9966865128427784,0.922643332490227,11.224269285008639,12.534843019076412,33.758386308,101.14913787062629
Aug,26.11907381010474,8.90892607045483,1.313278819166174,9.37228575098381,10.330232781709556,35.383331669,98.99576503489143
Sep,29.96350312517029,3.6754509376343583,1.1108749466697942,11.261015659956671,12.598788165431115,33.412056504,100.67908887553057
Oct,31.496729403783654,1.0542779305068533,2.4090528964479914,11.603888129034573,12.858609865773072,33.705338494,96.5752275120602
Nov,30.94273726755778,2.137605083030413,0.9331383654389636,11.728089125348696,13.063808438375853,32.677761403000005,101.23197223525608
Dec,31.777724385100264,3.2283542192899737,0.05968120969420431,11.283124442179684,12.419932777264126,33.928951479,103.17465491398082
