sample,solar_cost,wind_cost,battery_cost,diesel_marginal_cost,total_cost,solar_mw,wind_mw,diesel_mw,battery_mw
0,599224.3300996587,1145722.7699203053,861167.0317155716,254.2279818922766,54311092.572636075,194.51658297392584,316.9001468062145,100.77836653149446,-0.0
1,624781.7493889953,1416251.5317579908,311195.0587957404,235.3698541340251,54483555.1593454,277.58763838758483,216.0921843328547,56.10107846572129,222.65023511976682
2,694721.6789094114,1414287.8951773583,789745.893463611,276.30851217019233,62791623.131247774,192.44413663073502,304.78510464549043,99.7651818165317,3.9994133485372174
3,810992.044229828,989544.95620979,422456.8775136076,226.95418229807476,50786509.45793611,168.31746261333737,313.4601926232079,84.95415823384495,71.18424347238852
4,519585.5037022381,1038688.8414999703,768737.5659345209,206.18246819034576,48156152.95527649,194.519673368441,306.54861188793365,100.77836653149446,-0.0
5,781835.5208015584,1443512.5753985597,656338.8262875103,272.8771292273481,63838733.90821931,188.0505064211715,281.4462020962995,87.16303547866693,53.74472784010868
6,642136.9728563759,1387032.3036990867,332277.34626153664,269.1034714665707,56089446.95404652,272.2467729818073,230.28118845057122,55.96103646771048,227.32051690032756
7,537198.149412294,1037046.4198874466,509962.8839716851,290.5545699629038,51509360.74712228,217.91040664793812,299.1428373368637,78.25508129831081,88.90770486783016
8,765186.7176954602,1187987.5589318243,608606.850470406,215.40947614778128,54909189.4655375,161.85121236071598,298.7729979000976,94.52730982252993,24.675223851175762
9,800670.7100169715,1301557.6025246182,758497.2864212738,233.8130569095997,59112340.06091395,157.10119001724038,304.68293705998207,100.77836653149446,-0.0
10,508942.86186508444,896001.8729229684,604502.5416704125,200.21792750908105,44510136.69576701,189.2957919861993,317.97864221586565,100.49377947991944,1.123369940427697
11,744067.8293546927,1186243.109710976,738323.1618518899,236.97022018867526,56157877.850803114,174.32181448227823,308.73660980961495,100.77836653149446,-0.0
12,881251.3343312785,1112781.174227908,499197.28653867636,259.69727609778175,56442668.573289655,169.713158211522,317.22038938076133,86.07223108121946,61.29456690963218
13,824177.9530416251,1346276.1230457288,530066.254089582,205.09498440564457,57753755.69902324,170.87950027300948,270.57207216975576,86.89073433182183,54.819600788181404
14,815907.7251604799,860367.6591292754,857716.3678260023,269.6734057474549,51086680.348968804,152.27408691903477,358.25458367592375,100.77836653149446,-0.0
15,743273.8988580337,1427005.289237456,532101.4354162237,295.02064975341233,63026126.07636412,228.79365247925708,265.47101388842754,74.89018517823003,108.29242870800445
16,832441.153085607,1330819.5482741771,704593.0502437989,268.89613758019584,62174212.881567,175.02290985479343,296.87730634547273,92.49159751532035,32.71093032700304
17,845172.911337645,1174363.5828740918,521771.39164833986,277.63687175091263,58324790.22120898,182.56252459216208,308.35590141161157,83.6562509178612,71.34781698500245
18,703346.6092492056,1028751.8775951653,483773.06753604114,293.9720414911696,53611198.69232687,192.37462072014887,312.6235107656606,80.91990516095818,85.86847366244969
19,689954.0140294367,1377737.8281285316,892819.3897381098,284.9258094037383,62430862.80224061,195.07342127515508,308.73660980961495,100.77836653149446,-0.0
20,829093.9406570022,804012.9829017621,492498.1588801998,270.46296604385196,49124822.08823329,167.83576180179676,339.9130089024902,86.59953070884633,58.07356311777736
21,504554.83140010084,921437.8007562935,860386.6105477016,271.2114721241452,48668176.83317012,201.89471510605662,336.7609113557905,100.77836653149446,-0.0
22,630178.7773439583,919023.2114362573,636849.2289873075,261.98327457981475,49815171.09770791,183.15284877393725,329.3444600317859,93.620976276082,28.25285627136492
23,791756.0687055332,1339520.4353558645,660453.0729538859,255.24494503417992,60903374.515174374,178.0793504540362,291.54707713213884,91.33119071781353,37.291483475056296
24,898991.5104030564,1193756.6655203388,593988.1540323,244.63889964790224,58196090.45956114,157.0019706888251,305.7840825485278,90.35397048542377,41.148931760805326
